"id","name","population","defaultLanguage"
"AB","Alberta",4262635,"en"
"BC","British Columbia",5000879,"en"
"MB","Manitoba",1342153,"en"
"NB","New Brunswick",775610,"fr"
"NL","Newfoundland and Labrador",510550,"en"
"NS","Nova Scotia",969383,"en"
"ON","Ontario",14223942,"en"
"PE","Prince Edward Island",154331,"en"
"QC","Québec",8501833,"fr"
"SK","Saskatchewan",1132505,"en"
"NT","Northwest Territories",41070,"en"
"NU","Nunavut",36858,"en"
"YT","Yukon",40232,"en"
