"id","name","population","defaultLanguage"
"BC","Banskobystrický kraj",651000,"sk"
"BL","Bratislavský kraj",664000,"sk"
"KI","Košický kraj",795000,"sk"
"NI","Nitriansky kraj",682000,"sk"
"PV","Prešovský kraj",831000,"sk"
"TA","Trnavský kraj",556000,"sk"
"TC","Trenčiansky kraj",577000,"sk"
"ZI","Žilinský kraj",685000,"sk"
