"id","name","population","defaultLanguage"
"81","Nordjylland (North Denmark Region)",591740,"da"
"82","Midtjylland (Central Denmark Region)",1341857,"da"
"83","Syddanmark (Region of Southern Denmark)",1228362,"da"
"84","Hovedstaden (Capital Region of Denmark)",1867948,"da"
"85","Sjælland (Region Zealand)",843513,"da"
