"id","name","population","defaultLanguage"
"AL","Alytus County",135367,"lt"
"KL","Klaipėda County",336104,"lt"
"KU","Kaunas County",580333,"lt"
"MR","Marijampolė County",135891,"lt"
"PN","Panevėžys County",211652,"lt"
"SA","Šiauliai County",261764,"lt"
"TA","Tauragė County",90652,"lt"
"TE","Telšiai County",131431,"lt"
"UT","Utena County",125462,"lt"
"VL","Vilnius County",851346,"lt"
