"id","name","defaultLanguage"
"01","Drenthe","nl"
"02","Friesland","nl"
"03","Gelderland","nl"
"04","Groningen","nl"
"05","Limburg","nl"
"06","Noord-Brabant","nl"
"07","Noord-Holland","nl"
"09","Utrecht","nl"
"10","Zeeland","nl"
"11","Zuid-Holland","nl"
"15","Overijssel","nl"
"16","Flevoland","nl"
