"id","name","population","defaultLanguage"
"01","Osrednjeslovenska",570773,"sl"
"02","Gorenjska",206621,"sl"
"03","Goriška",118041,"sl"
"04","Obalno-kraška",115913,"sl"
"05","Pomurska",114238,"sl"
"06","Podravska",325994,"sl"
"07","Koroška",70755,"sl"
"08","Savinjska",263322,"sl"
"09","Zasavska",57050,"sl"
"10","Posavska",70349,"sl"
"11","Jugovzhodna Slovenija",145357,"sl"
"12","Primorsko-notranjska",52841,"sl"
