"id","name","defaultLanguage"
"AUK","Auckland","en"
"BOP","Bay of Plenty","en"
"CAN","Canterbury","en"
"CIT","Chatham Islands Territory","en"
"GIS","Gisborne","en"
"WGN","Greater Wellington","en"
"HKB","Hawke's Bay","en"
"MWT","Manawatū-Whanganui","en"
"MBH","Marlborough","en"
"NSN","Nelson","en"
"NTL","Northland","en"
"OTA","Otago","en"
"STL","Southland","en"
"TKI","Taranaki","en"
"TAS","Tasman","en"
"WKO","Waikato","en"
"WTC","West Coast","en"
