id,name,population,defaultLanguage
NSW,New South Wales,8193549,en
QLD,Queensland,5354801,en
SA,South Australia,1828701,en
TAS,Tasmania,571873,en
VIC,Victoria,6656281,en
WA,Western Australia,2805019,en
ACT,Australian Capital Territory,459048,en
NT,Northern Territory,250602,en
