"id","name","population","defaultLanguage"
"A","Eastern Macedonia and Thrace",606170,"el"
"I","Attica",3812330,"el"
"G","Western Greece",680190,"el"
"C","Western Macedonia",282120,"el"
"F","Ionian Islands",206470,"el"
"D","Epirus",336650,"el"
"B","Central Macedonia",1874590,"el"
"M","Crete",621340,"el"
"L","Southern Aegean",308610,"el"
"J","Peloponnese",581980,"el"
"H","Central Greece",546870,"el"
"E","Thessaly",730730,"el"
"K","Northern Aegean",197810,"el"
