yahoo.com,226
hotmail.com,222
gmail.com,52
aol.com,40
msn.com,10
mail.com,5
mail.org
mail.ru
bluebottle.com
e-mail.com
hotmail.net
email.net
e-mail.org
mymail.com
email.org
email.com
hotmail.org
mymail.org
mymail.net
