Aadolf
Aapeli
Aapo
Aappo
Aarne
Aarni
Aarno
Aaro
Aaron
Aarre
Aarto
Aatami
Aatos
Aatto
Aatu
Ahti
Ahto
Ahvo
Aimo
Aki
Akseli
Aku
Albert
Ale
Aleksanteri
Aleksi
Aleksis
Alfred
Ali
Allan
Alpi
Alpo
Altti
Alvar
Alvi
Ano
Anselmi
Anssi
Antero
Anton
Antti
Antto
Anttoni
Arhippa
Arho
Ari
Armas
Arsi
Arto
Arttu
Artturi
Arvi
Arvo
Asko
Aslak
Asmo
Asser
Atro
Atso
Atte
August
Aukusti
Aulis
Auno
Auvo
Benjamin
Daavid
Daniel
Edvard
Eelis
Eemeli
Eemil
Eerikki
Eero
Eetu
Eevert
Einari
Eino
Elias
Eljas
Elmer
Elmeri
Elmo
Ensio
Erkki
Ernesti
Erno
Esa
Esaias
Esko
Gabriel
Hannes
Hannu
Harri
Heikki
Heimo 
Heino 
Hemminki
Hemmo
Henri 
Henrik 
Henrikki 
Herkko
Herman 
Hermanni
Iikka
Iiro
Iisakki
Iivari
Iivo
Ilari
Ilkka
Ilmari
Ilmo
Ilpo
Ilppo
Immanuel
Immo
Into
Isko
Ismo
Isto
Jaakkima
Jaakko
Jaakob
Jaakoppi
Jalmari
Jalo
Jami
Jani
Janne
Jari
Jarkko
Jarmo
Jarno
Jere
Jeremias
Jesse
Joakim
Joel
Johannes
Joni
Jonne
Jonni
Joona
Joonas
Joonatan
Joosef
Jooseppi
Jori
Jorma
Jouko
Jouni
Jousia
Juha
Juhana
Juhani
Juho
Jukka
Julius
Jussi
Juuso
Jyri
Jyrki
Kaapo
Kaappo
Kaapro
Kaarle
Kaarlo
Kai
Kalervo
Kaleva
Kalevi
Kalle
Kari
Karri
Kasperi
Kauko
Kauno
Keijo
Keimo
Kerkko
Kim
Kimmo
Klaus
Konsta
Konstantin
Kosti
Kristian
Kuisma
Kullervo
Kustaa
Kustavi
Kyösti
Lari
Lasse
Lassi
Launo
Lauri
Leevi
Leo
Lyly
Mainio
Manne
Manu
Markku
Marko
Markus
Martti
Matias
Matti 
Mauno
Maunu
Mauri
Mies
Miika
Miikka
Mika
Mikael
Mikko
Miro
Miska
Nestori
Niilo
Niklas
Niko
Nikodemus
Nikolai
Nuutti
Nyyrikki
Ohto
Oiva
Olavi
Olli
Onni
Orvo
Oskari
Osmo
Ossi
Ossian
Otso
Otto
Paavali
Paavo
Panu
Pasi
Patrik
Pauli
Pekka
Pekko
Pellervo
Pentti
Pertti
Perttu
Petri
Petteri
Pietari
Pirkka
Pyry
Päiviö
Päivö
Raafael
Raimo
Raine
Rainer
Raino
Rami
Rasmus
Rauli
Rauni
Rauno
Reijo
Reima
Reino
Reko
Rikhard
Riku
Risto
Robert
Roni
Roope
Sakari
Saku
Salomo
Salomon
Sami
Sampo
Sampsa
Samu
Samuel
Samuli
Santeri
Santtu
Saul
Sauli
Seppo
Severi
Silvo
Simo
Sipi
Sippo
Soini
Sulevi
Sulho
Sulo
Sylvester
Taavetti
Taavi
Tahvo
Taisto
Taito
Taneli
Tapani
Tapio
Tarmo
Tarvo
Tatu
Tauno
Teemu
Teijo
Tenho
Teppo
Terho
Tero
Teuvo
Timo
Tino
Toimi
Toivo
Tomi
Tommi
Toni
Topi
Topias
Torsti
Touko
Tuomas
Tuomo
Turkka
Turo
Tuukka
Tuure
Ukko
Uljas
Untamo
Unto
Uolevi
Uoti
Urho
Urmas
Urpo
Usko
Uuno
Valdemar
Valentin
Valio
Valo
Valto
Valtteri
Veijo
Veikko
Veini
Veli
Verneri
Vesa
Vihtori
Vilhelm
Vilho
Vili
Viljami
Viljo
Ville
Vilppu
Visa
Voitto
Väinämö
Väinö
Ylermi
Yrjänä
Yrjö
