Avigail
Abigail
Avital
Adi
Adina
Amit
Arella
Ariella
Ashira
Atara
Ateret
Aviv
Aviva
Ayala
Ayelet
Batsheva
Bat-Ami
Batia
Bracha
Chava
Eva
Carmela
Chaya
Devorah
Deborah
Debra
Deena
Dinah
Dafna
Dalia
Daniella
Dana
Efrat
Elisheva
Ester
Esther
Eden
Eliana
Gavriella
Gabriella
Gal
Gefen
Hannah
Hadar
Hadas
Hila
Idit
Ilana
Irit
Kalanit
Kinneret
Leah
Liora
Lior
Levana
Liat
Liraz
Liron
Livna
Livnat
Michal
Miriam
Maayan
Malka
Maya
Maytal
Naomi
Noa
Naama
Nava
Neta
Nirit
Nitzan
Noga
Nurit
Ofra
Ofira
Ora
Orli
Penina
Pazit
Rachel
Rivka
Rebecca
Rut
Ruth
Ranana
Raz
Reut
Rina
Sara
Shifra
Sagit
Shai
Shalva
Shaked
Sharon
Shir
Shira
Shiran
Shirli
Shoshana
Sivan
Tzipora
Tal
Tamar
Vered
Varda
Yael
Yehudit
Judith
Yocheved
Yaffa
Yafit
Yasmin
Jasmine
Yedida
Yona
Yonina
Ziva
Zohar
