Abhineeti
Adhija
Apsara
Asha
Chandrakanta
Damayanti
Devi
Durga
Gauri
Gita
Gowri
Indira
Istari
Jaswinder
Jaya
Jayanti
Jayashree
Jyoti
Kali
Kalpana
Kamala
Kanti
Kausalya
Kumari
Lalita
Lata
Leela
Lila
Madhu
Malati
Meena
Mehjibin
Mohini
Padmini
Parvati
Parvin
Prabhaa
Prajna
Pratibha
Premlata
Priya
Purnima
Putri
Radha
Rajani
Rajni
Rati
Roshanara
Rukmini
Rupinder
Sandhya
Sarala
Saraswati
Saroja
Shakti
Shakuntala
Shanta
Sharada
Sharmila
Sheela
Shobha
Shobhana
Shyama
Sita
Sneh
Sri
Sumati
Sunita
Sushila
Uma
Usha
Vimalaa
Zaibunissa
Zarina
