Adam
Adolf
Adrian
Agne
Åke
Albert
Albin
Alex
Alexander
Alf
Alfred
Algot
Allan
Alvar
Anders
André
Andréas
Arne
Arnold
Aron
Arthur
Arvid
Assar
August
Axel
Bengt
Benjamin
Benny
Berndt
Bernhard
Bernt
Bert
Bertil
Bill
Billy
Birger
Bjarne
Björn
Bo
Boris
Börje
Bror
Bruno
Carl
Carl-Johan
Carlos
Charles
Charlie
Christer
Christian
Christofer
Christopher
Claes
Clas
Conny
Curt
Dag
Dan
Daniel
David
Dennis
Dick
Donald
Douglas
Ebbe
Eddie
Edvard
Edvin
Edward
Egon
Einar
Elias
Elis
Elof
Emanuel
Emil
Enar
Eric
Erik
Erkki
Erland
Erling
Ernst
Eskil
Eugen
Eugén
Evald
Evert
Fabian
Felix
Ferdinand
Filip
Folke
Frank
Frans
Fred
Fredric
Fredrik
Fritz
Gabriel
Georg
George
Gerhard
Gert
Gilbert
Gillis
Glenn
Göran
Gösta
Göte
Gottfrid
Greger
Gunnar
Gustaf
Gustav
Håkan
Hampus
Hannes
Hans
Harald
Harry
Hassan
Hasse
Helge
Helmer
Henning
Henric
Henrik
Henry
Herbert
Herman
Hilding
Hjalmar
Holger
Hugo
Ibrahim
Ilmari
Inge
Ingemar
Ingmar
Ingvar
Isak
Ivan
Ivar
Jack
Jacob
Jakob
James
Jan
Jan-Åke
Jan-Erik
Jan-Olof
Jari
Jarl
Jean
Jens
Jerker
Jerry
Jesper
Jim
Jimmy
Joachim
Joakim
Joel
Johan
Johannes
John
Johnny
Jon
Jonas
Jonatan
Jonathan
Jonny
Jörgen
José
Josef
Joseph
Juan
Juha
Juhani
Julius
Kaj
Kalervo
Kalevi
Kalle
Kari
Karl
Karl-Erik
Karl-Johan
Kennet
Kenneth
Kenny
Kent
Kenth
Kevin
Kim
Kjell
Klas
Knut
Konrad
Krister
Kristian
Kristofer
Kristoffer
Kurt
Lage
Lars
Lars-Åke
Lars-Erik
Lars-Göran
Lars-Gunnar
Lars-Olof
Leif
Lennart
Leo
Leonard
Leopold
Linus
Love
Lucas
Ludvig
Ludwig
Luis
Lukas
Magnus
Malte
Manfred
Måns
Manuel
Marcus
Marko
Markus
Mårten
Martin
Mathias
Matias
Mats
Matti
Mattias
Matts
Mauritz
Max
Melker
Micael
Michael
Michel
Mikael
Morgan
Natanael
Nicklas
Niclas
Niklas
Nils
Nils-Erik
Ola
Olav
Olavi
Ole
Oliver
Olle
Olof
Olov
Örjan
Oscar
Oskar
Ossian
Östen
Otto
Ove
Owe
Pär
Patric
Patrick
Patrik
Paul
Peder
Pekka
Pentti
Per
Per-Åke
Percy
Per-Erik
Per-Olof
Peter
Petter
Philip
Pierre
Pontus
Ragnar
Ragnvald
Ralf
Rasmus
Raymond
Reine
Reinhold
Reza
Richard
Rickard
Rikard
Robert
Robin
Roger
Roland
Rolf
Ronald
Ronnie
Ronny
Roy
Ruben
Rudolf
Rune
Sakari
Sam
Samuel
Sebastian
Seth
Sigfrid
Sigurd
Sigvard
Simon
Sivert
Sixten
Sonny
Sören
Staffan
Stefan
Stellan
Sten
Stig
Sture
Sune
Svante
Sven
Sven-Åke
Sven-Erik
Sven-Olof
Sverker
Tage
Tapani
Tapio
Ted
Teodor
Theodor
Thomas
Thore
Thure
Tim
Timo
Tobias
Tom
Tomas
Tommy
Tony
Tor
Torbjörn
Tord
Tore
Torgny
Torsten
Torvald
Ture
Ulf
Ulrik
Uno
Urban
Valdemar
Valentin
Valfrid
Valter
Verner
Victor
Viking
Viktor
Vilhelm
Villy
Vincent
Waldemar
Walter
Werner
Wilhelm
William
Willy
Yngve
