Aada
Aamu
Adelina
Aija
Aila
Aili
Aina
Aini
Ainikki
Aino
Aira
Airi
Aleksandra
Aliisa
Alina
Alli
Alma
Amalia
Amanda
Anelma
Anita
Anitta
Anja
Anna
Anne
Anneli
Anni
Anniina
Annika
Annikki
Annukka
Ansa
Anu
Arja
Armi
Asta
Auli
Aulikki
Aune
Auni
Aura
Auri
Aurora
Birgitta
Eerika
Eeva
Eevi
Eija
Eila
Eine
Eini
Eira
Elena
Eleonoora
Eliisa
Elina
Elisa
Elisabet
Elise
Ella
Ellen
Elli
Elma
Elmi
Elna
Elsa
Else
Elsi
Elvi
Elviira
Emilia
Emma
Emmi
Enni
Erja
Essi
Ester
Esteri
Eveliina
Floora
Hanna
Hanne
Hannele
Heidi
Heini
Helena
Helga
Heli
Helinä
Heljä
Helka
Helle
Hellevi
Helli
Hellin
Hellä
Helmi
Helvi
Hely
Henna
Henni
Henriikka
Hertta
Heta
Hilja
Hilkka
Hilla
Hille
Hillevi
Hilma
Hilppa
Iida
Iina
Iines
Iiris
Ilma
Ilmatar
Ilmi
Ilona
Ilta
Immi
Impi
Inari
Inka
Inkeri
Ira
Irene
Irina
Irja
Irma
Irmeli
Iro
Jaana
Janette
Janika
Janina
Janita
Jasmin
Jemina
Jenna
Jenni
Joanna
Johanna
Jonna
Josefiina
Julia
Juliaana
Jutta
Kaarina
Kaija
Kaino
Kaisa
Kaisu
Kanerva
Karoliina
Kastehelmi
Katariina
Kati
Katja
Katri
Katriina
Kerttu
Kerttuli
Kielo
Kiia
Kirsi
Kirsti
Klaara
Krista
Kristiina
Kukka
Kukka-Maaria
Kylli
Kyllikki
Lahja
Laila
Laina
Lauha
Laura
Lea
Leea
Leena
Leeni
Leila
Lemmikki
Lempi
Lenita
Liina
Liisa
Liisi
Lilja
Lilli
Linda
Linnea
Lotta
Loviisa
Lyydia
Lyyli
Maaret
Maaria
Maarit
Maija
Maiju
Maikki
Maila
Maili
Mailis
Maini
Maire
Manta
Margareeta
Mari
Maria
Marianna
Marianne
Marika
Marita
Maritta
Marja
Marjaana
Marjatta
Marjo
Marjukka
Marjut
Marketta
Martta
Mataleena
Matilda
Matleena
Meeri
Meri
Merja
Mervi
Mielikki
Miia
Miina
Mikaela
Milja
Milka
Milla
Mimmi
Minna
Minttu
Mira
Mirja
Mirjami
Mirka
Mirkka
Mirva
Nea
Nelli
Niina
Noora
Oili
Oivi
Olga
Olivia
Onerva
Oona
Orvokki
Outi
Paula
Pauliina
Petra
Piia
Pilvi
Pinja
Pirita
Piritta
Pirjo
Pirkko
Pulmu
Päivi
Päivikki
Päivä
Pälvi
Raakel
Raija
Raila
Raili
Raisa
Raita
Rauha
Rauna
Rauni
Rebekka
Reeta
Reetta
Reija
Riikka
Riina
Riitta
Ritva
Ronja
Roosa
Ruusu
Ruut
Saana
Saara
Saija
Saila
Saima
Saimi
Saini
Salla
Salli
Salme
Sanelma
Sanna
Sanni
Sara
Sari
Sarianna
Satu
Seija
Selja
Selma
Senja
Senni
Signe
Siiri
Silja
Silva
Sini
Sinikka
Sirja
Sirkka
Sirkku
Sirpa
Sisko
Sivi
Sofia
Sohvi
Soila
Soile
Soili
Sointu
Solja
Sonja
Sorja
Suoma
Suometar
Susanna
Susanne
Suvi
Sylvi
Sylvia
Säde
Taija
Taimi
Taina
Taira
Talvikki
Tanja
Tarja
Taru
Tea
Teija
Tellervo
Teresa
Terhi
Terhikki
Terttu
Tiia
Tiina
Tilda
Titta
Toini
Tuija
Tuire
Tuomi
Tuovi
Tuula
Tuuli
Tuulia
Tuulikki
Tytti
Tyyne
Tyyni
Ulla
Ulpu
Unelma
Ursula
Valma
Valpuri
Vanamo
Vappu
Varma
Varpu
Vaula
Veera
Vellamo
Venla
Verna
Viena
Vieno
Viivi
Vilhelmiina
Vilja
Vilma
Viola
Virpi
Virva
Virve
Vuokko
