Aad
Aard
Aarnoud
Aarnout
Aaron
Aäron
Aart
Ab
Abdias
Abe
Abel
Abo
Abraham
Abram
Acco
Achior
Ad
Adam
Adelbert
Adolf
Adrew
Adri
Adriaan
Adriaan
Adrian
Adrie
Adzard
Aemout
Aeron
Age
Agilbert
Agnar
Ago
Ahmed
Aidan
Ake
Akke
Akko
Aksel
Alain
Alan
Alard
Alban
Albert
Alco
Aldemar
Alex
Alexander
Alfons
Alfred
Alfredo
Alidanus
Allard
Allessy
Allon
Almar
Aloïs
Alon
Alric
Alwin
Amadeus
Amando
Amaro
Amok
Amon
Anand
Anco
Andie
André
Andreas
Andrew
Andries
Andy
Angelo
Angus
Anjo
Anko
Anne
Annold
Anthon
Anthonius
Antoin
Anton
Antonius
Antoon
Appie
Archibald
Arco
Ard
Ardo
Arend
Arian
Arie
Ariël
Arish
Aristo
Arjan
Arje
Arjen
Armand
Armando
Armen
Arnaldo
Arne
Arnie
Arno
Arnold
Arnoud
Aron
Art
Arthur
Arvid
Asher
Ashwin
Asjen
August
Auk
Auke
Aurel
Axel
Ayol
Ayrton
Barend
Barnabas
Barney
Barrie
Bart
Bas
Bastiaan
Bauke
Beau
Ben
Benjamin
Benji
Bennet
Bennie
Benno
Benny
Benoît
Berend
Bern
Bernard
Bernardo
Bernhard
Berry
Bert
Bertil
Bertold
Bertram
Bertrand
Bertus
Bjarne
Björn
Blaise
Bo
Bob
Bobby
Bonno
Boray
Borg
Boris
Boudewijn
Bouwe
Boyd
Bram
Brand
Brandon
Branko
Brecht
Brend
Brend
Brendan
Brent
Brian
Bronno
Bruce
Bruno
Bruun
Bryan
Bud
Buddy
Burt
Burton
Byron
Calvijn
Calvin
Camiel
Camillo
Card
Carel
Carl
Carlo
Carlos
Carolus
Carst
Carsten
Cas
Casimir
Caspar
Caspar-jan
Caz
Cedric
Cees
Celestin
Cesar
Chaim
Charel
Charles
Charlie
Charly
Chester
Chiel
Chris
Christan
Christiaan
Christoffel
Christopfer
Christopher
Cicero
Cid
Ciske
Claas
Claes
Clarence
Claudio
Claus
Clement
Cleopas
Cliff
Clifford
Clint
Clive
Clovis
Clyde
Co
Coen
Coert
