"Montag","-e",0
"Morgen"," -",0
"Mund","Münder",0
"Museum","Museen",2
"Mutter","Mütter",1
"Mütze","-n",1
"Nacht","Nächte",1
"Nagel","Nägel",0
"Nahrung",,1
"Name","-n",0
"Nase","-n",1
"Nest","-er",2
"Not","Nöte",1
"November","-",0
"Nudel","-n",1
"Nuss","Nüsse",1
"Obst",,2
"Ofen","Öfen",0
"Ohr","-en",2
"Oktober","-",0
"Oma","-s",1
"Onkel","-",0
"Opa","-s",0
"Orange","-n",1
"Ostern","-",2
"Paket","-e",2
"Papagei","-en",0
"Papier","-e",2
"Pappe","-n",1
"Paprika","-s",1
"Pause","-n",1
"Päckchen","-",2
"Pelikan","-e",0
"Pelz","-e",0
"Petersilie","-n",1
"Pfennig"," -e",0
"Pferd","-e",2
"Pflanze","-n",1
"Pfütze","-n",1
"Pilz","-e",0
"Pinsel","-",0
"Pirat","-en",0
"Platz","Plätze",0
"Polizist","-en",0
"Pudding","-s",0
"Pudel","-",0
"Puppe","-n",1
"Qualle","-n",1
"Qualm",,0
"Quark","-s",0
"Quelle","-n",1
"Rabe","-n",0
"Rad","Räder",2
"Radio","-s",2
"Rasse","-n",1
"Ratte","-n",1
"Rauch",,0
"Raupe","-n",1
"Rätsel","-",2
"Regal","-e",2
"Regen","-",1
"Regenwurm","Regenwürmer",0
"Reh","-e",2
"Reis",,0
"Reiter","-",0
"Retter","-",0
"Riese","-n",0
"Ring","-e",0
"Rock","Röcke",0
"Roller","-",0
"Rose","-n",1
"Rucksack","Rucksäcke",0
"Russe","-n",0
"Saat","-en",1
"Sack","Säcke",0
"Saft","Säfte",0
"Salat","-e",0
"Salz","-e",2
"Samstag","-e",0
"Satz","Sätze",0
"Schachtel","-n",1
"Schaf","-e",2
"Schal","-s",0
"Schale","-n",1
"Schere","-n",1
"Schiff","-e",2
"Schirm","-e",0
"Schlitten"," -",0
"Schloss","Schlösser",2
"Schlüssel","-",0
"Schmetterling","-e",0
"Schnecke","-n",1
"Schneckenhaus","Schneckenhäuser",2
"Schnee",,0
"Schrank","Schränke",0
"Schuh","-e",0
"Schule","-n",1
"Schwalbe","-n",1
"Schwamm","Schwämme",0
"Schwan","Schwäne",0
"Schwein","-e",2
"Schwert","-er",2
"Schwester","-n",1
"See","-n",0
"Seehund","-e",0
"Segel","-",2
"Seife","-n",1
"Seil","-e",2
"Seite","-n",1
"Senf",,0
"September","-",0
"Sessel","-",0
"Sieb","-e",2
"Sohn","Söhne",0
"Sommer","-",0
"Sonne","-n",1
"Sonntag"," -e",0
"Spaß","Späße",1
"Specht","-e",0
"Spiegel","-",0
"Spiel","-e",2
"Spinne","-n",1
"Sport",,0
"Stachel","-",0
"Stadt","Städte",1
"Stall","Ställe",0
"Staubsauger","-",0
"Stecknadel","-n",1
"Stehlampe","-n",1
"Stempel","-",0
"Stern","-e",0
"Stiefel","-",0
"Storch","Störche",0
"Straße","-n",1
"Strauch","Sträucher",0
"Streich","-e",0
"Streichholz","Streichhölzer",2
"Streifen","-",0
"Strumpf","Strümpfe",0
"Stuhl","Stühle",0
"Stundenplan","Stundenpläne",0
"Suppe","-n",1
"Tafel","-n",1
"Tal","Täler",2
"Tanne","-n",1
"Tante","-n",1
"Tasche","-n",1
"Tasse","-n",1
"Taube","-n",1
"Taucher","-",0
"Tee","-s",0
"Teich","-e",0
"Teig","-e",0
"Teil","-e",2
"Telefon","-e",2
"Teller","-",0
"Tier","-e",2
"Tierfilm","-e",0
"Tisch","-e",0
"Tochter","Töchter",1
"Tomate","-n",1
"Tonne","-n",1
"Topf","Töpfe",0
"Tor","-e",2
"Torte","-n",1
"Traum","Träume",0
"Treppe","-n",1
"Tropfen","-",0
"Tube","-n",1
"Tuch","Tücher",2
"Tulpe","-n",1
"Tür","-en",1
"Uhr","-en",1
"Uhu","-s",0
"Unsinn",,0
"Unterricht",,0
"Urlaub","-e",0
"Überraschung","-en",1
"Vase","-n",1
"Vater","Väter",0
"Vesper","-n",1
"Vogel","Vögel",0
"Vormittag","-e",0
"Waage","-n",1
"Wabe","-n",1
"Waffel","-n",1
"Wagen","-",0
"Wal","-e",0
"Wald","Wälder",0
"Wand","Wände",1
"Wanne","-n",1
"Wasser","-",2
"Wecker","-",0
"Weihnachten","-",2
"Wein","-e",0
"Welle","-n",1
"Welt","-en",1
"Wetter","-",2
"Wiege","-n",1
"Wiese","-n",1
"Wille","-n",0
"Wind","-e",0
"Winter","-",0
"Wippe","-n",1
"Wischer","-",0
"Witz","-e",0
"Wolf","Wölfe",0
"Wolke","-n",1
"Wolle","-n",1
"Wort","-e",2
"Wunsch","Wünsche",0
"Wurst","Würste",1
"Würfel","-",0
"Xylolofon","-e",2
"Ypsilon","-s",2
"Zahl","-en",1
"Zahn","Zähne",0
"Zange","-n",1
"Zaun","Zäune",0
"Zebra","-s",2
"Zelt","-e",2
"Zettel","-",0
"Ziege","-n",1
"Zimmer","-",2
"Zirkus","-se",0
"Zoo","-s",0
"Zopf","Zöpfe",0
"Zucker","-",0
"Zug","Züge",0
"Zweig","-e",0
"Zwiebel","-n",1
